benchmark,set_size,recurring_pct,run,pid_threshold,n_recurring_expected,n_after_filter,t_total_ms,t_link_ms,t_decrypt_ms,t_per_input_cft_ms,t_ngo_ms,t_judge_ms,t_police_ms
direct-decrypt,4000,20,4,400,800,4000,96311.769587,0,96311.769587,24.07794239675,31458.075863,31450.448158,33403.245566
direct-decrypt,4000,20,5,400,800,4000,96072.938901,0,96072.938901,24.01823472525,31443.664589,31459.580359,33169.693953
direct-decrypt,4000,20,6,400,800,4000,96202.151546,0,96202.151546,24.0505378865,31543.496122,31426.801886,33231.853538
direct-decrypt,4000,20,7,400,800,4000,96220.606423,0,96220.606423,24.05515160575,31503.736948,31533.774161,33183.095314
direct-decrypt,4000,20,8,400,800,4000,96441.346495,0,96441.346495,24.11033662375,31328.233667,31501.460481,33611.652347
direct-decrypt,4000,20,9,400,800,4000,96260.526327,0,96260.526327,24.06513158175,31488.665545,31537.584051,33234.276731
direct-decrypt,4000,20,10,400,800,4000,96066.494497,0,96066.494497,24.016623624250002,31415.43888,31442.996048,33208.059569
direct-decrypt,4000,50,1,400,2000,4000,96206.931104,0,96206.931104,24.051732776,31548.986786,31493.724492,33164.219826
direct-decrypt,4000,50,2,400,2000,4000,96115.143641,0,96115.143641,24.02878591025,31443.346981,31464.984785,33206.811875
direct-decrypt,4000,50,3,400,2000,4000,96302.676167,0,96302.676167,24.07566904175,31435.55974,31597.183295,33269.933132
direct-decrypt,4000,50,4,400,2000,4000,96173.920789,0,96173.920789,24.04348019725,31542.531102,31340.26396,33291.125727
direct-decrypt,4000,50,5,400,2000,4000,96198.289135,0,96198.289135,24.04957228375,31499.239624,31480.153521,33218.89599
direct-decrypt,4000,50,6,400,2000,4000,96220.471272,0,96220.471272,24.055117818,31498.156444,31494.424827,33227.890001
direct-decrypt,4000,50,7,400,2000,4000,96249.41509,0,96249.41509,24.0623537725,31558.659347,31500.465126,33190.290617
