benchmark,set_size,recurring_pct,run,pid_threshold,n_recurring_expected,n_after_filter,t_total_ms,t_link_ms,t_decrypt_ms,t_per_input_cft_ms,t_ngo_ms,t_judge_ms,t_police_ms
link-decrypt,100,50,10,10,50,50,3313.320549,2276.882824,1036.437725,33.13320549,1014.27803,1012.7725,1285.936062
link-decrypt,500,10,1,50,50,50,12447.522575,11401.289704,1046.232871,24.89504515,4082.868453,4047.545132,4315.49505
link-decrypt,500,10,2,50,50,50,12399.356896,11365.102457,1034.254439,24.798713791999997,4045.862429,4044.142889,4307.710279
link-decrypt,500,10,3,50,50,50,12475.361753,11428.746892,1046.614861,24.950723506,4068.487422,4067.383026,4337.882516
link-decrypt,500,10,4,50,50,50,12437.155462,11402.558899,1034.596563,24.874310924,4037.860627,4055.742037,4341.954089
link-decrypt,500,10,5,50,50,50,12474.014001,11429.775167,1044.238834,24.948028001999997,4072.367419,4063.208516,4336.804057
link-decrypt,500,10,6,50,50,50,12506.42157,11460.6581,1045.76347,25.01284314,4077.36806,4076.684049,4350.748773
link-decrypt,500,10,7,50,50,50,12501.395848,11456.157749,1045.238099,25.002791696,4082.850459,4067.667124,4349.282495
link-decrypt,500,10,8,50,50,50,12462.947619,11421.198409,1041.74921,24.925895238000003,4067.82861,4057.174874,4336.333677
link-decrypt,500,10,9,50,50,50,12429.891826,11394.848883,1035.042943,24.859783651999997,4053.646199,4052.451628,4322.146911
link-decrypt,500,10,10,50,50,50,12494.403535,11442.864543,1051.538992,24.98880707,4064.431803,4093.478752,4334.882111
link-decrypt,500,50,1,50,250,250,16594.342003,11408.208042,5186.133961,33.188684006,5070.266387,5071.964752,6450.437345
link-decrypt,500,50,2,50,250,250,16594.511664,11372.305626,5222.206038,33.189023328000005,5079.161156,5076.788587,6436.904141
link-decrypt,500,50,3,50,250,250,16588.558218,11381.714855,5206.843363,33.177116436,5076.523309,5086.668834,6423.699957
link-decrypt,500,50,4,50,250,250,16553.963056,11373.109894,5180.853162,33.107926112,5061.832652,5067.25788,6422.808398
link-decrypt,500,50,5,50,250,250,16626.759186,11422.245913,5204.513273,33.253518372,5097.222385,5089.730647,6437.825677
